2026-04-13 09:21:46 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:46 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:46 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:46 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:47 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:47 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:47 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:48 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:48 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:48 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:49 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:49 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:49 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:50 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:50 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:50 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:50 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:51 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:51 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:51 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:52 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:52 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:52 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:53 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:53 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:53 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:53 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:54 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:54 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:54 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:55 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:55 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:55 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:56 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:56 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:56 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:56 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:57 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:57 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:57 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:58 | ERROR    | src.utils | wrapper | Error in extract_from_chunk: '"clause_number"'
2026-04-13 09:21:58 | INFO     | src.utils | __exit__ | Entity extraction completed in 20.03s
2026-04-13 09:35:43 | INFO     | __main__ | main | ============================================================
2026-04-13 09:35:43 | INFO     | __main__ | main | Phase 3: Production Entity Extractor
2026-04-13 09:35:43 | INFO     | __main__ | main | ============================================================
2026-04-13 09:35:43 | INFO     | __main__ | main | Loaded 3108 chunks
2026-04-13 09:35:43 | INFO     | __main__ | main | TEST MODE: Processing first 5 chunks only
